"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"ANKHD1.EIF4EBP3.404734"	"ANKHD1-EIF4EBP3|404734"	"0.545844588447662"	"0.611180023345065"	"0.258010338214402"	"0.804373017037496"	"0.101967403132756"	"1"
"ANKLE2.23141"	"ANKLE2|23141"	"0.30330474910108"	"0.83132240961183"	"0.373123343772323"	"0.686780859540119"	"0.033096628980763"	"1"
"ANKRD10.55608"	"ANKRD10|55608"	"0.64089163869706"	"0.612124882341555"	"0.931518689160805"	"0.439842908095529"	"0.0454551145115589"	"1"
"ANKRD13D.338692"	"ANKRD13D|338692"	"0.0643383538431526"	"0.471069359517702"	"0.113535069614293"	"0.578337777145624"	"0.025457412895451"	"1"
"ANKRD20A4.728747"	"ANKRD20A4|728747"	"1"	"1"	"0.492799950346609"	"0.793166396436611"	"1.14633263510955e-16"	"2.07486206954828e-14"
"ANKRD23.200539"	"ANKRD23|200539"	"0.0763489125625097"	"0.0823394520251283"	"0.322399732086886"	"0.422804173960804"	"0.00901821125874864"	"1"
"ANKRD24.170961"	"ANKRD24|170961"	"0.526670084767468"	"0.0897257698471963"	"0.240679861723143"	"0.0428238982852775"	"0.0161930517942627"	"1"
"ANKRD33.341405"	"ANKRD33|341405"	"1"	"1"	"0.494975581508418"	"0.915756956254849"	"1.50531797920663e-25"	"2.724625542364e-23"
"ANKRD36B.57730"	"ANKRD36B|57730"	"5.35084370734986e-25"	"0"	"1.81025478640295e-29"	"3.70030672476521e-25"	"1.81025478640295e-29"	"3.27656116338934e-27"
"ANKRD44.91526"	"ANKRD44|91526"	"0.0496048968309128"	"0.0186137906382791"	"0.0857154901733668"	"0.286816167538335"	"0.00179267557070112"	"0.324474278296904"
"ANKRD45.339416"	"ANKRD45|339416"	"0.653933550229342"	"0.761393818949592"	"0.80172882889083"	"0.59383625517628"	"0.000188826400692876"	"0.0341775785254106"
